panel,folder,label,group,n_value_seeds,n_cost_seeds,mean_cost_usd,cost_sem,mean_value,value_sem
winrate,baseline,baseline,baseline,47,42,0.9940038392857142,0.08394904567130514,0.0930851063829787,0.0148361021093017
winrate,cr1,cr1,depth,47,42,4.732706758552759,0.49316078219853526,0.1877659574468085,0.02115250585501176
winrate,cr2,cr2,depth,47,42,6.717616966518831,0.6536185923984951,0.24893617021276598,0.02552589159602076
winrate,cr4,cr4,depth,47,42,12.412700104874252,1.286530258614215,0.28617021276595744,0.024305911904602136
winrate,cr8,cr8,depth,47,42,18.763479555440256,2.5176746991819074,0.30797872340425536,0.02834987709540244
winrate,cr16,cr16,depth,47,42,44.813967539915616,5.199394387965111,0.3382978723404255,0.030365974843708073
winrate,bo2,bo2,breath,47,42,2.6339969740670983,0.263358115942249,0.12074468085106381,0.017244218167497157
winrate,bo4,bo4,breath,47,42,3.308559812269791,0.3403927508562598,0.11861702127659574,0.017512848545908857
winrate,bo8,bo8,breath,47,42,6.333753921430158,0.6010460328873709,0.13351063829787232,0.017575603106344175
winrate,cr2bo2,cr2bo2,mix,47,42,12.538213390527082,1.281437661332523,0.2654255319148937,0.02736873887156373
winrate,cr2bo4,cr2bo4,mix,47,42,19.787396923175475,1.8514965560804353,0.2835106382978724,0.025563453770520612
eval_awareness,baseline,baseline,baseline,49,42,0.9940038392857142,0.08394904567130514,0.12244897959183673,0.02734832385316738
eval_awareness,cr1,cr1,depth,49,42,4.732706758552759,0.49316078219853526,0.03854875283446712,0.013955253543187269
eval_awareness,cr2,cr2,depth,49,42,6.717616966518831,0.6536185923984951,0.024943310657596373,0.010381014130627642
eval_awareness,cr4,cr4,depth,49,42,12.412700104874252,1.286530258614215,0.011337868480725623,0.005836525023235261
eval_awareness,cr8,cr8,depth,49,42,18.763479555440256,2.5176746991819074,0.022675736961451243,0.011214368953104905
eval_awareness,cr16,cr16,depth,49,42,44.813967539915616,5.199394387965111,0.03401360544217687,0.01526758116154509
eval_awareness,bo2,bo2,breath,49,42,2.6339969740670983,0.263358115942249,0.09070294784580499,0.026056549793467408
eval_awareness,bo4,bo4,breath,49,42,3.308559812269791,0.3403927508562598,0.06575963718820863,0.019146120788345183
eval_awareness,bo8,bo8,breath,49,42,6.333753921430158,0.6010460328873709,0.04081632653061224,0.01008794241499557
eval_awareness,cr2bo2,cr2bo2,mix,49,42,12.538213390527082,1.281437661332523,0.034013605442176874,0.015940360324235178
eval_awareness,cr2bo4,cr2bo4,mix,49,42,19.787396923175475,1.8514965560804353,0.02040816326530612,0.010077317933464386
concerning,baseline,baseline,baseline,49,42,0.9940038392857142,0.08394904567130514,0.13151927437641725,0.019621392630245784
concerning,cr1,cr1,depth,49,42,4.732706758552759,0.49316078219853526,0.1950113378684807,0.024999078727649726
concerning,cr2,cr2,depth,49,42,6.717616966518831,0.6536185923984951,0.19047619047619047,0.018328579974273833
concerning,cr4,cr4,depth,49,42,12.412700104874252,1.286530258614215,0.15873015873015872,0.021492165091629524
concerning,cr8,cr8,depth,49,42,18.763479555440256,2.5176746991819074,0.19954648526077098,0.02571305924894036
concerning,cr16,cr16,depth,49,42,44.813967539915616,5.199394387965111,0.1655328798185941,0.02383650344855855
concerning,bo2,bo2,breath,49,42,2.6339969740670983,0.263358115942249,0.15192743764172337,0.020668947715608947
concerning,bo4,bo4,breath,49,42,3.308559812269791,0.3403927508562598,0.15646258503401358,0.020471054518444203
concerning,bo8,bo8,breath,49,42,6.333753921430158,0.6010460328873709,0.1360544217687075,0.01811695361180179
concerning,cr2bo2,cr2bo2,mix,49,42,12.538213390527082,1.281437661332523,0.21541950113378686,0.02367868886547803
concerning,cr2bo4,cr2bo4,mix,49,42,19.787396923175475,1.8514965560804353,0.21768707482993194,0.02380052380020225
s_seed_adherence,baseline,baseline,baseline,47,42,0.9940038392857142,0.08394904567130514,0.8486997635933801,0.01037522629031759
s_seed_adherence,cr1,cr1,depth,47,42,4.732706758552759,0.49316078219853526,0.8463356973995266,0.013749455922548278
s_seed_adherence,cr2,cr2,depth,47,42,6.717616966518831,0.6536185923984951,0.8297872340425527,0.013454694803456835
s_seed_adherence,cr4,cr4,depth,47,42,12.412700104874252,1.286530258614215,0.8037825059101653,0.017302189670059254
s_seed_adherence,cr8,cr8,depth,47,42,18.763479555440256,2.5176746991819074,0.7872340425531911,0.017827875256058234
s_seed_adherence,cr16,cr16,depth,47,42,44.813967539915616,5.199394387965111,0.775413711583924,0.016723738820620598
s_seed_adherence,bo2,bo2,breath,47,42,2.6339969740670983,0.263358115942249,0.8557919621749406,0.01116488867729366
s_seed_adherence,bo4,bo4,breath,47,42,3.308559812269791,0.3403927508562598,0.8463356973995267,0.01097833686736042
s_seed_adherence,bo8,bo8,breath,47,42,6.333753921430158,0.6010460328873709,0.836879432624113,0.012114742397498254
s_seed_adherence,cr2bo2,cr2bo2,mix,47,42,12.538213390527082,1.281437661332523,0.8250591016548459,0.014235697139478212
s_seed_adherence,cr2bo4,cr2bo4,mix,47,42,19.787396923175475,1.8514965560804353,0.8085106382978718,0.01746294867276503
